,file_scraped,Corresponding_URL
96,thehindu_jan_1_file_97.json,https://www.thehindu.com/news/national/andhra-pradesh/nara-lokesh-dares-cm-jaganmohan-reddy-to-swear-at-simhachalam-temple/article33472585.ece
97,thehindu_jan_1_file_98.json,https://www.thehindu.com/news/national/andhra-pradesh/arup-kumar-goswami-likely-to-take-charge-as-ap-high-court-chief-justice-in-a-week/article33472313.ece
98,thehindu_jan_1_file_99.json,https://www.thehindu.com/news/national/andhra-pradesh/ysrcp-mlc-challa-ramakrishna-reddy-dies-of-covid-19/article33469948.ece
99,thehindu_jan_1_file_100.json,https://www.thehindu.com/news/national/andhra-pradesh/multi-purpose-facility-centres-under-rbks-soon/article33469943.ece
100,thehindu_jan_1_file_101.json,https://www.thehindu.com/news/national/andhra-pradesh/fake-ips-officer-held/article33468493.ece
101,thehindu_jan_1_file_102.json,https://www.thehindu.com/news/national/andhra-pradesh/ramateertham-incident-police-form-special-teams-to-trace-culprits/article33468490.ece
102,thehindu_jan_1_file_103.json,https://www.thehindu.com/news/national/andhra-pradesh/stone-for-esi-hospital-to-be-laid-this-month-in-e-godavari/article33468488.ece
103,thehindu_jan_1_file_104.json,https://www.thehindu.com/news/national/andhra-pradesh/sloth-bear-dies-after-being-caught-in-a-snare/article33468485.ece
104,thehindu_jan_1_file_105.json,https://www.thehindu.com/news/national/andhra-pradesh/10-people-arrested-in-tadipatri-clashes/article33468481.ece
105,thehindu_jan_1_file_106.json,https://www.thehindu.com/news/national/andhra-pradesh/state-witnessed-fewer-infections-and-deaths-in-december/article33467154.ece
106,thehindu_jan_1_file_107.json,https://www.thehindu.com/news/national/andhra-pradesh/skilling-initiatives-continued-unhindered-despite-pandemic/article33467140.ece
107,thehindu_jan_1_file_108.json,https://www.thehindu.com/news/national/andhra-pradesh/govt-trying-its-best-to-bail-out-ryots/article33466840.ece
108,thehindu_jan_1_file_109.json,https://www.thehindu.com/news/national/andhra-pradesh/when-visible-policing-became-the-buzzword-in-tirupati/article33466835.ece
109,thehindu_jan_1_file_110.json,https://www.thehindu.com/news/national/andhra-pradesh/vizag-police-embark-on-anti-corruption-drive/article33466825.ece
110,thehindu_jan_1_file_111.json,https://www.thehindu.com/news/national/andhra-pradesh/delayed-vmrda-projects-on-track-for-early-2021-launch/article33466824.ece
111,thehindu_jan_1_file_112.json,https://www.thehindu.com/news/national/andhra-pradesh/bjp-condemns-vandalising-of-idol-at-ramateertham/article33466804.ece
112,thehindu_jan_1_file_113.json,https://www.thehindu.com/news/national/andhra-pradesh/auto-rickshaw-drivers-demand-scrapping-of-go-no-21/article33466775.ece
113,thehindu_jan_1_file_114.json,https://www.thehindu.com/news/national/andhra-pradesh/tribal-student-dies-at-school/article33466764.ece
114,thehindu_jan_1_file_115.json,https://www.thehindu.com/news/national/andhra-pradesh/tribal-youth-being-offered-skill-training/article33466757.ece
115,thehindu_jan_1_file_116.json,https://www.thehindu.com/news/national/andhra-pradesh/restrictions-imposed-on-bridges/article33466731.ece
116,thehindu_jan_1_file_117.json,https://www.thehindu.com/news/national/andhra-pradesh/2020-a-year-of-mixed-fortunes-for-gvmc/article33466722.ece
117,thehindu_jan_1_file_118.json,https://www.thehindu.com/news/national/karnataka/opposition-says-smart-city-projects-are-flawed/article33475691.ece
118,thehindu_jan_1_file_119.json,https://www.thehindu.com/news/national/karnataka/sdpi-threatens-protest-if-arrested-members-are-not-released-in-3-days/article33475677.ece
119,thehindu_jan_1_file_120.json,https://www.thehindu.com/news/national/karnataka/illegal-activities-will-be-firmly-dealt-with-n-shashi-kumar/article33475667.ece
120,thehindu_jan_1_file_121.json,https://www.thehindu.com/news/national/karnataka/gujarat-handicrafts-utsav-at-jss-urban-haat/article33475319.ece
121,thehindu_jan_1_file_122.json,https://www.thehindu.com/news/national/karnataka/ex-servicemen-to-clean-surroundings-of-chamundi-hills-footpath/article33475307.ece
122,thehindu_jan_1_file_123.json,https://www.thehindu.com/news/national/karnataka/ksou-awaits-ugc-approval-to-launch-10-new-courses/article33474755.ece
